,Actual Values,Predicted Values,Gender,Age Group,Year In,Month In,Year Out,Month Out,Country_Code
34391,0,0,2,7,2017,10,2017,10,1
64148,0,0,1,7,2018,2,2018,2,7
463540,0,0,1,7,2019,10,2019,10,5
367248,0,1,2,3,2019,5,2019,6,5
490641,1,1,1,7,2017,4,2017,5,83
497217,0,0,2,7,2017,9,2017,9,83
420361,1,0,1,6,2019,7,2019,7,5
381843,0,0,1,6,2019,6,2019,6,5
434244,0,0,1,3,2019,8,2019,8,5
149245,0,1,1,5,2018,10,2018,10,5
186014,0,1,2,3,2018,12,2018,12,5
76161,0,0,1,7,2018,4,2018,4,7
195254,1,1,1,4,2019,1,2019,1,2
87117,0,0,1,7,2018,5,2018,5,2
146967,1,1,2,4,2018,10,2018,10,2
472231,1,0,2,4,2019,11,2019,11,4
191752,0,1,2,7,2018,12,2018,12,5
59599,0,0,2,7,2018,2,2018,2,5
104398,0,0,1,6,2018,6,2018,6,7
289989,0,1,1,6,2019,4,2019,4,5
20739,0,0,1,6,2017,8,2017,8,2
104427,1,1,1,7,2018,6,2018,7,2
123339,1,1,1,3,2018,8,2018,9,5
362661,1,1,2,6,2019,5,2019,6,2
410466,1,0,2,3,2019,7,2019,7,2
55236,1,0,2,2,2018,1,2018,1,2
532246,0,0,2,6,2018,7,2018,7,7
474520,0,0,2,7,2019,11,2019,12,2
352299,1,1,1,7,2019,5,2019,5,2
91930,1,1,2,3,2018,5,2018,5,5
294220,0,1,1,6,2019,4,2019,4,2
575283,0,0,1,5,2019,11,2019,11,7
36202,0,1,2,4,2017,10,2017,11,5
20941,0,0,1,7,2017,8,2017,8,2
485005,0,0,1,7,2020,1,2020,1,2
415492,1,1,2,5,2019,7,2019,7,1
416177,0,0,1,3,2019,7,2019,7,5
435495,0,0,1,3,2019,8,2019,8,5
201997,0,0,1,7,2019,1,2019,1,1
111865,0,0,1,7,2018,7,2018,7,7
232312,1,1,1,6,2019,2,2019,2,2
427533,1,1,2,7,2019,7,2019,8,1
117005,0,0,2,6,2018,8,2018,8,2
130770,1,1,2,2,2018,9,2018,9,5
440848,0,0,2,4,2019,8,2019,8,7
120774,0,1,2,2,2018,8,2018,8,1
562152,0,0,2,2,2019,7,2019,7,7
564066,0,0,1,6,2019,7,2019,7,7
207795,1,1,1,4,2019,1,2019,1,1
578238,1,0,1,5,2020,1,2020,1,7
356863,1,0,2,2,2019,5,2019,5,5
416538,1,0,1,7,2019,7,2019,7,2
389108,0,0,2,4,2019,6,2019,6,5
75448,0,1,1,3,2018,4,2018,4,2
311655,1,1,1,7,2019,4,2019,5,5
462116,1,0,2,7,2019,10,2019,10,2
300476,0,0,2,2,2019,4,2019,4,5
560094,0,0,2,2,2019,6,2019,6,67
420626,0,0,1,7,2019,7,2019,7,7
534284,1,0,1,1,2018,8,2018,8,7
113499,1,1,1,2,2018,7,2018,8,5
351924,1,1,1,7,2019,5,2019,5,2
80761,0,0,2,7,2018,4,2018,4,2
427044,1,0,2,5,2019,7,2019,7,2
276477,0,1,1,6,2019,4,2019,4,5
342690,1,0,2,3,2019,5,2019,5,1
478969,0,0,1,7,2019,12,2019,12,7
285690,1,1,2,7,2019,4,2019,4,2
295310,1,1,1,7,2019,4,2019,4,5
341791,1,1,1,4,2019,5,2019,5,5
467485,0,1,1,5,2019,11,2019,11,24
308471,0,0,2,5,2019,4,2019,4,2
305900,0,0,1,3,2019,4,2019,4,2
425974,0,0,1,7,2019,7,2019,7,5
514923,0,1,2,3,2018,2,2018,3,2
416998,1,0,2,4,2019,7,2019,7,5
30518,0,0,1,7,2017,9,2017,10,5
238637,0,1,1,7,2019,3,2019,3,2
255288,1,1,1,7,2019,3,2019,3,2
215719,1,1,2,7,2019,2,2019,2,2
428733,1,0,1,5,2019,7,2019,7,5
53982,0,0,1,7,2018,1,2018,1,2
44378,0,0,1,7,2017,12,2017,12,2
259986,1,1,2,3,2019,3,2019,3,2
285463,0,1,1,7,2019,4,2019,4,1
204840,1,0,1,6,2019,1,2019,1,2
23631,0,0,1,7,2017,8,2017,8,2
157617,0,0,1,7,2018,11,2018,11,7
282728,1,1,2,7,2019,4,2019,4,2
556418,0,0,1,2,2019,4,2019,4,7
349547,0,1,1,1,2019,5,2019,5,5
124931,1,1,2,4,2018,9,2018,9,5
410631,0,0,1,3,2019,7,2019,7,12
333488,0,0,2,3,2019,5,2019,5,5
304216,0,0,1,5,2019,4,2019,4,5
393994,0,0,1,5,2019,6,2019,6,2
83318,1,0,2,7,2018,5,2018,5,2
176264,1,1,1,6,2018,12,2018,12,2
577052,0,0,1,5,2020,6,2020,6,9
60569,0,0,2,3,2018,2,2018,2,2
515603,0,1,2,4,2018,3,2018,3,2
182244,1,1,1,6,2018,12,2018,12,5
519100,0,0,2,3,2018,3,2018,3,7
418480,0,0,2,4,2019,7,2019,7,5
301159,1,1,1,7,2019,4,2019,4,5
448416,0,0,1,7,2019,9,2019,9,6
387461,0,0,2,6,2019,6,2019,6,2
6458,0,0,1,7,2017,2,2017,2,2
480950,0,0,1,7,2019,12,2019,12,7
5235,0,0,1,7,2017,2,2017,2,1
291080,0,0,2,2,2019,4,2019,4,1
401279,1,1,2,6,2019,6,2019,7,5
99159,0,1,1,7,2018,6,2018,6,2
7828,0,0,1,7,2017,3,2017,3,1
347599,0,1,1,6,2019,5,2019,5,5
447190,1,1,2,3,2019,8,2019,9,5
189881,1,1,1,4,2018,12,2018,12,5
101091,1,1,1,7,2018,6,2018,6,2
204315,0,0,1,5,2019,1,2019,1,1
381076,1,1,2,7,2019,6,2019,6,2
179172,1,1,1,6,2018,12,2018,12,2
502001,0,0,1,7,2017,11,2017,11,2
576367,0,0,2,6,2019,12,2019,12,7
58075,0,0,1,7,2018,1,2018,1,2
129420,1,0,2,7,2018,9,2018,9,5
570354,0,0,2,5,2019,9,2019,9,7
217797,1,1,1,7,2019,2,2019,2,2
302028,0,0,1,3,2019,4,2019,4,5
266661,1,1,2,7,2019,3,2019,3,5
37227,0,1,2,3,2017,11,2017,11,2
549071,1,0,2,7,2019,1,2019,1,5
86787,1,1,1,3,2018,5,2018,5,5
552781,0,1,2,2,2019,3,2019,3,5
254538,0,0,1,7,2019,3,2019,3,7
312284,1,1,1,2,2019,4,2019,5,1
9616,0,0,2,7,2017,4,2017,4,7
580877,0,0,1,3,2020,2,2020,2,7
539641,1,1,1,3,2018,10,2018,10,7
482037,0,0,1,7,2019,12,2019,12,5
494087,0,0,1,4,2017,7,2017,7,63
36746,0,0,1,7,2017,11,2017,11,2
410467,0,0,1,2,2019,7,2019,7,5
5776,1,0,2,1,2017,2,2017,2,5
402852,0,1,1,3,2019,6,2019,7,9
103531,1,1,2,4,2018,6,2018,7,2
58842,0,0,1,6,2018,1,2018,2,9
45276,0,0,1,6,2017,12,2017,12,2
164104,1,1,2,3,2018,11,2018,11,5
493860,0,0,1,5,2017,7,2017,7,7
108569,0,0,1,7,2018,7,2018,7,7
405048,0,0,1,1,2019,7,2019,7,5
53909,0,0,1,7,2018,1,2018,1,2
345000,1,1,1,7,2019,5,2019,5,1
278818,1,1,2,6,2019,4,2019,4,5
474628,0,0,2,7,2019,11,2019,12,2
152731,1,1,2,6,2018,10,2018,11,5
276661,1,0,1,4,2019,4,2019,4,5
291119,0,0,2,2,2019,4,2019,4,2
498690,0,1,2,4,2017,9,2017,10,4
530144,0,0,2,2,2018,6,2018,6,7
